company_name,show_name,booth_no,show_type,product_name,company_url,country,country_code,country_code_lower,flag_url,region
BioBridge K.K.,Ingredients,3A-02,Ingredients,not provided,detail.php?exid=C15130829&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
BioBridge K.K.,Ingredients,3A-02,Ingredients,not provided,detail.php?exid=C15130829&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Biocon,Bio Pharma,3G-22,Bio Pharma,not provided,detail.php?exid=CF25141216&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
BIOMED INGREDIENTS PVT LTD,Ingredients,2C-22,Ingredients,not provided,detail.php?exid=CF25122248&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
bioMérieux Japan Ltd.,Bio Pharma,3F-30,Bio Pharma,not provided,detail.php?exid=CF26187897&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"BIZEN CHEMICAL CO., LTD.",Ingredients,3H-08,Ingredients,not provided,detail.php?exid=CF23174315&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"BIZEN CHEMICAL CO., LTD.",Ingredients,3H-08,Ingredients,not provided,detail.php?exid=CF23174315&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Bloomage Biotechnology Corporation Limited,Ingredients,2E-36,Ingredients,not provided,detail.php?exid=C14018891&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
Bluejet Healthcare,Outsourcing,1A-31,Outsourcing,not provided,detail.php?exid=CF25169433&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
Bora Pharmaceuticals,Outsourcing,1D-47,Outsourcing,"Liquid Contract Manufacturing - solutions,",detail.php?exid=CF26135525&sidSuffix=s20260203221243470&previous=,TAIWAN,TW,tw,https://flagcdn.com/w40/tw.png,Asia
Bora Pharmaceuticals,Outsourcing,1D-47,Outsourcing,"Semi-Solid Contract Manufacturing - Creams,",detail.php?exid=CF26135525&sidSuffix=s20260203221243470&previous=,TAIWAN,TW,tw,https://flagcdn.com/w40/tw.png,Asia
Bora Pharmaceuticals,Outsourcing,1D-47,Outsourcing,Solid Dose Contract Manufacturing,detail.php?exid=CF26135525&sidSuffix=s20260203221243470&previous=,TAIWAN,TW,tw,https://flagcdn.com/w40/tw.png,Asia
"Brother Enterprises Holding Co., Ltd.",Ingredients,1H-46,Ingredients,not provided,detail.php?exid=CF26125498&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
BSP Pharmaceuticals spa,Outsourcing,1E-47,Outsourcing,Clinical and Commercial supply services,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
BSP Pharmaceuticals spa,Outsourcing,1E-47,Outsourcing,Sterile suites capabilities,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
BSP Pharmaceuticals spa,Outsourcing,1E-47,Outsourcing,Oral capabilities,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
BSP Pharmaceuticals spa,Outsourcing,1E-47,Outsourcing,ADCs Manufacturing services,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
BSP Pharmaceuticals spa,Outsourcing,1E-47,Outsourcing,Quality control laboratories services,detail.php?exid=CF26172644&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
CADILA PHARMACEUTICALS LIMITED,Ingredients,2C-33,Ingredients,not provided,detail.php?exid=C14017426&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png,Asia
Cambrex,Ingredients,2B-34,Ingredients,not provided,detail.php?exid=CF24127728&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
Cambrex,Ingredients,2B-34,Ingredients,not provided,detail.php?exid=CF24127728&sidSuffix=s20260203221243470&previous=,ITALY,IT,it,https://flagcdn.com/w40/it.png,Europe
"Capot Chemical Co.,Ltd.",Ingredients,2E-46,Ingredients,not provided,detail.php?exid=CF24175887&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
Carbogen Amcis,Outsourcing,1C-38,Outsourcing,not provided,detail.php?exid=CF25112975&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Carbogen Amcis,Outsourcing,1C-38,Outsourcing,not provided,detail.php?exid=CF25112975&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
Carbogen Amcis,Outsourcing,1C-38,Outsourcing,not provided,detail.php?exid=CF24120415&sidSuffix=s20260203221243470&previous=,SWITZERLAND,CH,ch,https://flagcdn.com/w40/ch.png,Europe
Carbogen Amcis,Outsourcing,1C-38,Outsourcing,not provided,detail.php?exid=CF24120415&sidSuffix=s20260203221243470&previous=,SWITZERLAND,CH,ch,https://flagcdn.com/w40/ch.png,Europe
"Careplusone Co.,Ltd.",Ingredients,1H-10,Ingredients,not provided,detail.php?exid=C17146537&sidSuffix=s20260203221243470&previous=,SOUTH KOREA,KR,kr,https://flagcdn.com/w40/kr.png,Asia
CATO Research Chemicals Inc.,Ingredients,2C-45,Ingredients,not provided,detail.php?exid=CF26118045&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"CBC CO., Ltd.",Ingredients,2K-04,Ingredients,not provided,detail.php?exid=C14016224&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"CBC CO., Ltd.",Ingredients,2K-04,Ingredients,not provided,detail.php?exid=C14016224&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
"CBC CO., Ltd.",Ingredients,2K-04,Ingredients,not provided,detail.php?exid=C14016224&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
CCCMHPIE,Ingredients,1F-47,Ingredients,not provided,detail.php?exid=CF22105766&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Chongkai Chemical Co., Ltd.",Ingredients,3C-33,Ingredients,not provided,detail.php?exid=CF26187640&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Koye Chemical Co.,Ltd",Ingredients,1J-43,Ingredients,not provided,detail.php?exid=F20149650&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Liren Medical Technology Co., Ltd.",Ingredients,3B-27,Ingredients,not provided,detail.php?exid=CF26108851&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Liren Medical Technology Co., Ltd.",Ingredients,3B-27,Ingredients,not provided,detail.php?exid=C17148353&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Sunlight Pharmaceutical Co., Ltd.",Ingredients,3A-17,Ingredients,not provided,detail.php?exid=C14018075&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou United Chemical Co., Ltd.",Ingredients,3C-31,Ingredients,not provided,detail.php?exid=CF24147906&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Yinsheng Pharmaceutical Co.,Ltd.",Ingredients,2A-02,Ingredients,not provided,detail.php?exid=CF26133857&sidSuffix=s20260203221243470&previous=,CHINA,CN,cn,https://flagcdn.com/w40/cn.png,Asia
"Changzhou Yinsheng Pharmaceutical Co.,Ltd.",Ingredients,2A-02,Ingredients,not provided,detail.php?exid=CF26182795&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png,Asia
