"company_name","company_name_clean","year","country","country_code","country_code_lower","flag_url"
"OC SPECIALITIES PVT LTD","OC SPECIALITIES PVT LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"OC SPECIALITIES PVT LTD","OC SPECIALITIES PVT LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"OC SPECIALITIES PVT LTD","OC SPECIALITIES PVT LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"OCEANIC PHARMACHEM PVT LTD","OCEANIC PHARMACHEM PVT LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"OCEANIC PHARMACHEM PVT LTD","OCEANIC PHARMACHEM PVT LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"OGAWA SEIKI CO LTD","OGAWA SEIKI CO LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"OGAWA SEIKI CO LTD","OGAWA SEIKI CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"OLIC (THAILAND) LTD","OLIC (THAILAND) LTD",2025,"THAILAND","TH","th","https://flagcdn.com/w40/th.png"
"OLIC (THAILAND) LTD","OLIC (THAILAND) LTD",2026,"THAILAND","TH","th","https://flagcdn.com/w40/th.png"
"OLON S P.A","OLON S P.A",2025,"ITALY","IT","it","https://flagcdn.com/w40/it.png"
"OLON S P.A","OLON S P.A",2026,"ITALY","IT","it","https://flagcdn.com/w40/it.png"
"OLON SPA","OLON SPA",2024,"ITALY","IT","it","https://flagcdn.com/w40/it.png"
"OPERE CO LTD","OPERE CO LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"OSAKA SYNTHETIC CHEMICAL LABORATORIES INC","OSAKA SYNTHETIC CHEMICAL LABORATORIES INC",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"OSAKA YUKA INDUSTRY LTD","OSAKA YUKA INDUSTRY LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"OSAKA YUKA INDUSTRY LTD","OSAKA YUKA INDUSTRY LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"OSAKA YUKA INDUSTRY LTD","OSAKA YUKA INDUSTRY LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PACIFIC ORGANIC PVT LTD","PACIFIC ORGANIC PVT LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PACIFIC ORGANIC PVT LTD","PACIFIC ORGANIC PVT LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PACIFIC ORGANIC PVT LTD","PACIFIC ORGANIC PVT LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PAI-NET","PAI-NET",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PANASONIC CORP","PANASONIC CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PATHEON JAPAN","PATHEON JAPAN",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PATRIAPHARMA LTD","PATRIAPHARMA LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PAUREC CORP","PAUREC CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PAUSHAK LTD","PAUSHAK LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PERCHERON BIOCEUTICAL CO LTD","PERCHERON BIOCEUTICAL CO LTD",2026,"TAIWAN","TW","tw","https://flagcdn.com/w40/tw.png"
"PERFECT CARE","PERFECT CARE",2024,"ROMANIA","RO","ro","https://flagcdn.com/w40/ro.png"
"PERFECT CARE","PERFECT CARE",2025,"ROMANIA","RO","ro","https://flagcdn.com/w40/ro.png"
"PERFECT CARE","PERFECT CARE",2026,"ROMANIA","RO","ro","https://flagcdn.com/w40/ro.png"
"PERIC SPECIAL GASES CO LTD","PERIC SPECIAL GASES CO LTD",2026,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
"PERSPECTIVE CO LTD","PERSPECTIVE CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PERSPECTIVE CO LTD","PERSPECTIVE CO LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHARMA INFORMATION NETWORK INC","PHARMA INFORMATION NETWORK INC",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHARMA PLANNING CO LTD","PHARMA PLANNING CO LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHARMA PLANNING CO LTD","PHARMA PLANNING CO LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHARMIRA CORP","PHARMIRA CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHARUMO INC","PHARUMO INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHC CORP","PHC CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PHT","PHT",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PI HEALTH SCIENCES LTD","PI HEALTH SCIENCES LTD",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PI HEALTH SCIENCES LTD","PI HEALTH SCIENCES LTD",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PI HEALTH SCIENCES LTD","PI HEALTH SCIENCES LTD",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PIRAMAL PHARMA SOLUTIONS","PIRAMAL PHARMA SOLUTIONS",2024,"USA","US","us","https://flagcdn.com/w40/us.png"
"PIRAMAL PHARMA SOLUTIONS","PIRAMAL PHARMA SOLUTIONS",2025,"USA","US","us","https://flagcdn.com/w40/us.png"
"PIRAMAL PHARMA SOLUTIONS","PIRAMAL PHARMA SOLUTIONS",2026,"USA","US","us","https://flagcdn.com/w40/us.png"
"PIXCHEMY CORP","PIXCHEMY CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"POINTPATH.BIZ K. K","POINTPATH.BIZ K. K",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PORTON PHARMA SOLUTIONS LTD","PORTON PHARMA SOLUTIONS LTD",2024,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
"PORTON PHARMA SOLUTIONS LTD","PORTON PHARMA SOLUTIONS LTD",2025,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
"PORTON PHARMA SOLUTIONS LTD","PORTON PHARMA SOLUTIONS LTD",2026,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
"PPROLIFE BIO CHEMICAL INDUSTRIES PVT LTD","PPROLIFE BIO CHEMICAL INDUSTRIES PVT LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PRATAP ORGANICS PVT LTD","PRATAP ORGANICS PVT LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PRATAP ORGANICS PVT LTD","PRATAP ORGANICS PVT LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PRATAP ORGANICS PVT LTD","PRATAP ORGANICS PVT LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"PREFERRED NETWORKS INC","PREFERRED NETWORKS INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PRIMETECH CORP","PRIMETECH CORP",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PRIMETECH CORP","PRIMETECH CORP",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"PRINCE PHARMACEUTICAL CO LTD","PRINCE PHARMACEUTICAL CO LTD",2026,"TAIWAN","TW","tw","https://flagcdn.com/w40/tw.png"
"PUNAGRI ORGANICS AND LIFESCIENCES PVT LTD","PUNAGRI ORGANICS AND LIFESCIENCES PVT LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"QBD RESEARCH AND DEVELOPMENT LAB PVTLTD","QBD RESEARCH AND DEVELOPMENT LAB PVTLTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
