company_name,show_name,booth_no
WuXi XDC,Outsourcing,1C-36
"Xi'an Advance Chemistry New Material Co., Ltd",Ingredients,2C-47
"Xi'an Guokang Ruijin Pharmaceutical Co.,Ltd.",Ingredients,1F-44
"Xiamen Origin Biotech Co., Ltd.",Ingredients,6F-11
"Yakuji Nippo, LTD.",Ingredients,3F-01
YAMASA CORPORATION,Ingredients,2G-27
"Yangling JITAI Pharmaceutical Co.,Ltd.",Ingredients,1E-48
Yangtze River Pharmaceutical Group Sichuan Hairong,Bio Pharma,3F-26
"Yangzhou Chemical Co.,Ltd.",Outsourcing,1A-05
"YANGZHOU HENGCHUAN CHEMICAL CO.,LTD.",Outsourcing,1B-07
"Yantai Xianhua Technology Group Co., Ltd.",Ingredients,2J-20
"YMC CO., LTD.",Bio Pharma,3E-22
"YUKI GOSEI KOGYO CO., LTD.",Ingredients,2G-21
"Yung Shin Pharm. Ind. Co., Ltd.",Ingredients,2B-09
Yungjin Pharm.,Ingredients,2C-40
Yurui (Shanghai) Chemical Co. Ltd,Ingredients,3A-31
ZEON Corporation,Bio Pharma,3E-03
"Zhejiang Ausun Pharmaceutical Co., Ltd.",Ingredients,2H-20
"ZHEJIANG BAMBOO PHARMACEUTICALS CO.,LTD",Ingredients,1E-50
"Zhejiang East-Asia Pharmaceutical Co.,Ltd.",Ingredients,3B-23
"Zhejiang Eazy PharmChem Co.,Ltd.",Ingredients,1H-51
"ZHEJIANG HAPPY CHEMICAL CO.,LTD.",Ingredients,2E-41
"Zhejiang Hengkang pharmaceutical Co., Ltd",Ingredients,2A-46
"ZHEJIANG HISOAR PHARMACEUTICAL CO.,LTD.",Ingredients,3A-16
"Zhejiang Hisun Pharmaceutical Co.,Ltd.",Outsourcing,1E-25
"ZHEJIANG HUAYI PHARMACEUTICAL CO.,LTD.",Ingredients,3C-27
"Zhejiang Jiangbei Pharmaceutical co.,Ltd.",Ingredients,3B-21
"Zhejiang Jiuzhou Pharmaceutical Co., Ltd.",Ingredients,3C-04
"Zhejiang Langhua Pharmaceutical Co., Ltd.",Ingredients,3A-28
"Zhejiang Lepu Pharmaceutical Co.,Ltd",Ingredients,1C-12
"Zhejiang Peptites Biotech Co., Ltd.",Ingredients,3C-05
"ZHEJIANG RETRON BIOTECH CO.,LTD.",Ingredients,3B-33
ZHEJIANG RUIBANG LABORATORIES,Ingredients,1F-42
"ZHEJIANG SHENZHOU PHARMACEUTICAL Co., Ltd.",Ingredients,3C-32
"Zhejiang Tianyu Pharmaceutical Co., Ltd.",Ingredients,1D-03
"Zhengzhou Freshliance Electronics Corp., Ltd.,",Outsourcing,1D-04
"Zhontong Tech Co., Ltd.",Ingredients,3A-34
"Zhuhai Rundu Pharmaceutical Co., Ltd",Ingredients,2C-23
"Zibo Qisu Environmental Protection Technology Co., Ltd.",Ingredients,2J-36
Zydus Lifesceiences Limited,Ingredients,2E-45
3xper Innoventure Limited,Outsourcing,2D-25
