company_name,show_name,booth_no
"Konishiyasu Co.,Ltd.",Ingredients,2E-38
Korea Pharmaceutical Traders Association (KPTA),Ingredients,TBD
"KOUGEN SANGYO CO.,LTD",Outsourcing,1A-34
"Kuraray Co.,Ltd.",Outsourcing,1A-14
"Kuryuu Bio-Pharmaceuticals Co., Ltd.",Bio Pharma,3F-25
Kyodo International Corporation,Ingredients,2B-30
"Kyongbo Pharmaceutical Co., Ltd",Ingredients,3D-31
"KYOWA PHARMA CHEMICAL CO., LTD.",Ingredients,2H-21
Labfit&Pharmapoli,Outsourcing,1B-45
LABORATORI ALCHEMIA,Ingredients,IT-04
Laksh Finechem Pvt Ltd,Ingredients,2D-29
Lianhe Aigen Pharma,Ingredients,3D-25
"LIANYUNGANG RIFENG CALCIUM&MAGNESIUM CO., LTD",Ingredients,1G-43
"LIFECOME BIOCHEMISTRY CO., LTD.",Ingredients,2B-44
Lonza,Outsourcing,1D-10
"LUNAN NEW TIME BIO-TECH CO., LTD.",Ingredients,3A-04
Lupin Manufacturing Solutions Limited,Outsourcing,1B-44
LUSOCHIMICA,Ingredients,IT-15
MANAC Incorporated,Ingredients,2G-22
Manareco Japan,Ingredients,2D-07
MAR-FARMA,Ingredients,IT-14
Marubeni Chemix Corporation,Ingredients,3C-50
"MARUZEN CHEMICALS CO., LTD.",Ingredients,2D-35
Matrix Pharmacorp Private Limited,Ingredients,2E-32
"MDL CHEMIPHARM CO.,LTD",Ingredients,2H-01
Médecins du Monde Japan,Ingredients,3D-02
MediumBank,Bio Pharma,3F-23
Metrochem API Private Limited,Ingredients,1J-48
Midas Pharma,Ingredients,2F-47
Mie Prefecture Environmental Conservation Agency,Outsourcing,1F-01
MINAKEM SAS,Ingredients,2B-10
"Mitsui Fudosan Co., Ltd.",Bio Pharma,3G-21
MOREPEN LABORATORIES LIMITED,Ingredients,2C-48
MSN LABORATORIES,Ingredients,3D-30
MUROMACHI CHEMICALS INC.,Ingredients,2F-26
"Nagase & Co., Ltd.",Ingredients,2G-36
"NAKAMURA SCIENTIFIC INSTRUMENT CO., LTD.",Ingredients,3C-47
"NAKAMURA TRADING (HONGKONG) CO., LTD",Ingredients,3D-45
"Namiki Shoji Co., Ltd.",Outsourcing,1C-41
"Nanjing Dorra Pharmaceutical Technology Co., Ltd",Outsourcing,1B-05
Nanjing Joyin Pharmachem Co. Ltd.,Ingredients,3D-04
"Nanjing Sincerity Chemical Co., Ltd",Ingredients,1H-50
NanoMicro,Ingredients,3C-17
"NANTONG ACETIC ACID CHEMICAL CO., LTD.",Ingredients,1J-01
Navin Molecular,Outsourcing,1B-33
NCK A/S,Ingredients,3A-10
"NEO CHEMICAL CO., LTD",Outsourcing,1D-32
NEOGEN CHEMICALS,Ingredients,2C-04
Neuland Laboratories K.K.,Ingredients,2G-10
NEUTEC Pharmaceutical,Ingredients,2C-35
NewAtom Labs Private Limited,Outsourcing,1A-28
NEWCHEM,Ingredients,IT-10
"Nikko Chemicals Co., Ltd.",Ingredients,1H-31
"Nikko Chemicals Co., Ltd.",Ingredients,1H-40
"NINGBO CHEMIK CO., LTD.",Ingredients,3C-30
Ningbo Fengrui Fine Chemical Ltd.,Ingredients,1F-04
"NIPPOH CHEMICALS CO., LTD.",Ingredients,2C-36
"NIPPON BULK YAKUHIN CO., LTD",Ingredients,2C-02
"Nippon Light Metal Company, Ltd.",Ingredients,2A-41
"Nippon Rika Co.,Ltd.",Ingredients,2E-35
"NIPPON SHOKUBAI CO., LTD.",Ingredients,1F-07
"NIPPON SODA CO., LTD.",Ingredients,1H-36
"NISSO SHOJI CO., LTD.",Ingredients,2D-32
NOF CORPORATION,Ingredients,2D-50
Novartis Pharma,Ingredients,2J-01
Novopor Advanced Science Private Limited,Outsourcing,1B-46
OC SPECIALITIES PVT. LTD.,Outsourcing,1B-32
Oceanic Pharmachem Pvt Ltd.,Outsourcing,3D-42
OLIC (Thailand) Limited,Outsourcing,1A-32
Olive Pharmascience LTD,Outsourcing,1D-48
"OLON S,p.A.",Ingredients,2E-33
OneSource Specialty Pharma,Outsourcing,1A-39
OPOCRIN S.P.A.,Ingredients,IT-19
OSAKA YUKA INDUSTRY LTD.,Ingredients,2G-25
OZ International Inc.,Ingredients,3B-41
Pacific Organic Pvt Ltd,Ingredients,2D-21
Patheon by Thermo Fisher Scientific,Outsourcing,1C-42
Paushak Limited,Ingredients,3D-37
"PERCHERON BIOCEUTICAL CO., LTD.",Ingredients,2D-47
Perfect Care,Ingredients,2C-09
"Pharma Planning Co., Ltd.",Ingredients,2G-32
"PharmaBlock Sciences (Nanjing), Inc.",Ingredients,1C-11
PHT,Ingredients,2C-31
PI Health Sciences Ltd.,Outsourcing,1E-04
Piramal Pharma Solutions,Outsourcing,1C-32
Porton Pharma Solutions Ltd.,Outsourcing,1B-38
PProlife Bio Chemical Industries Pvt. Ltd.,Ingredients,3A-10
Pratap Organics Pvt. Ltd.,Ingredients,1J-26
"Prince Pharmaceutical Co., Ltd.",Ingredients,1H-02
"Qi-Chem Co.,Ltd.",Ingredients,1G-41
"Qingdao Bright Moon Seaweed Group Co.,Ltd",Ingredients,2J-25
"Qingdao Kingway Pharmtech Co.,Ltd.",Ingredients,2K-21
"Qingdao Union Fine Chemical Co., Ltd.",Ingredients,3A-06
Quotient Sciences,Outsourcing,1C-31
R L FINE CHEM PVT LTD,Ingredients,3A-08
"RAPHAS JAPAN CO.,LTD.",Outsourcing,1C-50
Recipharm,Outsourcing,1B-21
REPORT OCEAN,Bio Pharma,3F-10
"Ricoh Biosciences, K.K.",Bio Pharma,3F-11
"Ricoh Company, Ltd.",Bio Pharma,3F-11
"RIVERSON & CO., LTD.",Ingredients,1J-42
Rockwood Lithium Japan K.K.,Ingredients,2A-43
SAGAR LIFE SCIENCES Pvt Ltd,Ingredients,2D-23
Sai Life Sciences,Outsourcing,1D-28
Sainor Laboratories Pvt.Ltd.,Ingredients,3F-45
Salvavidas Pharmaceutical Pvt Ltd,Ingredients,3E-42
SANTAI CORPORATION,Ingredients,2B-03
"SANYO FINE CO., LTD.",Ingredients,2G-39
SCIEX,Bio Pharma,3H-27
Scimplify Japan Inc.,Ingredients,2C-01
"ScinoPharm Taiwan, Ltd.",Ingredients,2F-07
"SEKISUI MEDICAL CO., LTD.",Ingredients,1J-22
Shandong Biocom Pharmaceutical Co. Ltd,Ingredients,1F-43
"SHANDONG BOYUAN PHARMACEUTICAL CO.,LTD.",Ingredients,1H-47
Shandong Chenghui Shuangda Pharmaceutical,Ingredients,1C-08
"SHANDONG DYCK BIOTECH CO.,LTD",Ingredients,1C-26
"Shandong Huihai Pharmaceutical and Chemical Co., Ltd.",Ingredients,1B-10
"Shandong Keyuan Pharmaceutical Co., Ltd.",Outsourcing,1A-26
